0, Intel, 4371, 18.03.2008 0:00:00
1, Amazon, 8271, 18.03.2008 0:00:00
2, Microsoft, 81, 18.03.2008 0:00:00
3, Microsoft, 532, 18.03.2008 0:00:00
4, Microsoft, 853, 18.03.2008 0:00:00
5, Juniper, 7299, 18.03.2008 0:00:00
6, Cisco, 3803, 18.03.2008 0:00:00
7, Microsoft, 1456, 18.03.2008 0:00:00
8, Cisco, 2256, 18.03.2008 0:00:00
9, Microsoft, 914, 18.03.2008 0:00:00
10, Amazon, 8956, 18.03.2008 0:00:00
11, Cisco, 3847, 18.03.2008 0:00:00
12, Juniper, 7114, 18.03.2008 0:00:00
13, Cisco, 4015, 18.03.2008 0:00:00
14, Intel, 5357, 18.03.2008 0:00:00
15, Amazon, 8154, 18.03.2008 0:00:00
16, Intel, 4283, 18.03.2008 0:00:00
17, Amazon, 8280, 18.03.2008 0:00:00
18, Amazon, 9360, 18.03.2008 0:00:00
19, Juniper, 6864, 18.03.2008 0:00:00
20, Intel, 4410, 18.03.2008 0:00:00
21, Cisco, 3235, 18.03.2008 0:00:00
22, Amazon, 9976, 18.03.2008 0:00:00
23, Amazon, 8682, 18.03.2008 0:00:00
24, Intel, 4704, 18.03.2008 0:00:00
25, Juniper, 7272, 18.03.2008 0:00:00
26, Intel, 4901, 18.03.2008 0:00:00
27, Microsoft, 1633, 18.03.2008 0:00:00
28, Cisco, 2842, 18.03.2008 0:00:00
29, Cisco, 3200, 18.03.2008 0:00:00
30, Cisco, 2079, 18.03.2008 0:00:00
31, Microsoft, 695, 18.03.2008 0:00:00
32, Intel, 4955, 18.03.2008 0:00:00
33, Juniper, 7378, 18.03.2008 0:00:00
34, Juniper, 7319, 18.03.2008 0:00:00
35, Amazon, 9307, 18.03.2008 0:00:00
36, Amazon, 9965, 18.03.2008 0:00:00
37, Juniper, 6116, 18.03.2008 0:00:00
38, Intel, 4860, 18.03.2008 0:00:00
39, Microsoft, 1256, 18.03.2008 0:00:00
40, Amazon, 8029, 18.03.2008 0:00:00
41, Cisco, 2882, 18.03.2008 0:00:00
42, Juniper, 7728, 18.03.2008 0:00:00
43, Cisco, 3418, 18.03.2008 0:00:00
44, Amazon, 8265, 18.03.2008 0:00:00
45, Microsoft, 1497, 18.03.2008 0:00:00
46, Amazon, 8832, 18.03.2008 0:00:00
47, Microsoft, 775, 18.03.2008 0:00:00
48, Juniper, 7778, 18.03.2008 0:00:00
49, Intel, 5176, 18.03.2008 0:00:00
50, Amazon, 8666, 18.03.2008 0:00:00
51, Cisco, 2341, 18.03.2008 0:00:00
52, Juniper, 8010, 18.03.2008 0:00:00
53, Microsoft, 536, 18.03.2008 0:00:00
54, Intel, 4924, 18.03.2008 0:00:00
55, Microsoft, 1191, 18.03.2008 0:00:00
56, Amazon, 8294, 18.03.2008 0:00:00
